service_name,original_path,archived_path,method,archived_at
ab_testing_service,app/services/ab_testing_service.py,archived_services/services/ab_testing_service.py,git mv,2026-01-08T13:35:56.626390
academic_export_service,app/services/academic_export_service.py,archived_services/services/academic_export_service.py,git mv,2026-01-08T13:35:56.686392
adaptive_testing_service,app/services/adaptive_testing_service.py,archived_services/services/adaptive_testing_service.py,git mv,2026-01-08T13:35:56.763725
agent_orchestrator,app/services/agent_orchestrator.py,archived_services/services/agent_orchestrator.py,git mv,2026-01-08T13:35:56.816871
ai_enhanced_email_service,app/services/ai_enhanced_email_service.py,archived_services/services/ai_enhanced_email_service.py,git mv,2026-01-08T13:35:56.911613
ai_guided_onboarding,app/services/ai_guided_onboarding.py,archived_services/services/ai_guided_onboarding.py,git mv,2026-01-08T13:35:56.970919
api_performance_service,app/services/api_performance_service.py,archived_services/services/api_performance_service.py,git mv,2026-01-08T13:35:57.028975
api_security_service,app/services/api_security_service.py,archived_services/services/api_security_service.py,git mv,2026-01-08T13:35:57.089962
assessment_integration_service,app/services/assessment_integration_service.py,archived_services/services/assessment_integration_service.py,git mv,2026-01-08T13:35:57.155639
base_service,app/services/base_service.py,archived_services/services/base_service.py,git mv,2026-01-08T13:35:57.214195
behavioral_biometrics_service,app/services/behavioral_biometrics_service.py,archived_services/services/behavioral_biometrics_service.py,git mv,2026-01-08T13:35:57.269588
behavioral_coaching_service,app/services/behavioral_coaching_service.py,archived_services/services/behavioral_coaching_service.py,git mv,2026-01-08T13:35:57.340314
behavioral_pattern_service,app/services/behavioral_pattern_service.py,archived_services/services/behavioral_pattern_service.py,git mv,2026-01-08T13:35:57.419532
clinical_assessment_service,app/services/clinical_assessment_service.py,archived_services/services/clinical_assessment_service.py,git mv,2026-01-08T13:35:57.485495
data_retention_service,app/services/data_retention_service.py,archived_services/services/data_retention_service.py,mv,2026-01-08T13:35:57.565104
deployment_service,app/services/deployment_service.py,archived_services/services/deployment_service.py,git mv,2026-01-08T13:35:57.627049
enhanced_ai_service,app/services/enhanced_ai_service.py,archived_services/services/enhanced_ai_service.py,git mv,2026-01-08T13:35:57.697998
enhanced_cache_service,app/services/enhanced_cache_service.py,archived_services/services/enhanced_cache_service.py,git mv,2026-01-08T13:35:57.761352
enterprise_billing,app/services/enterprise_billing.py,archived_services/services/enterprise_billing.py,git mv,2026-01-08T13:35:57.827849
field_encryption_service,app/services/field_encryption_service.py,archived_services/services/field_encryption_service.py,git mv,2026-01-08T13:35:57.891755
irt_calibration_service,app/services/irt_calibration_service.py,archived_services/services/irt_calibration_service.py,git mv,2026-01-08T13:35:57.973952
llm_sanitization,app/services/llm_sanitization.py,archived_services/services/llm_sanitization.py,git mv,2026-01-08T13:35:58.034048
log_aggregation_service,app/services/log_aggregation_service.py,archived_services/services/log_aggregation_service.py,git mv,2026-01-08T13:35:58.088254
memory_management_service,app/services/memory_management_service.py,archived_services/services/memory_management_service.py,git mv,2026-01-08T13:35:58.153244
pagination_service,app/services/pagination_service.py,archived_services/services/pagination_service.py,git mv,2026-01-08T13:35:58.238224
push_notification_service,app/services/push_notification_service.py,archived_services/services/push_notification_service.py,git mv,2026-01-08T13:35:58.300384
query_optimization_service,app/services/query_optimization_service.py,archived_services/services/query_optimization_service.py,git mv,2026-01-08T13:35:58.350215
rate_limiter_service,app/services/rate_limiter_service.py,archived_services/services/rate_limiter_service.py,git mv,2026-01-08T13:35:58.418320
relationship_analysis,app/services/relationship_analysis.py,archived_services/services/relationship_analysis.py,git mv,2026-01-08T13:35:58.492610
request_processor,app/services/request_processor.py,archived_services/services/request_processor.py,git mv,2026-01-08T13:35:58.558599
response_transformer,app/services/response_transformer.py,archived_services/services/response_transformer.py,git mv,2026-01-08T13:35:58.611495
restful_service,app/services/restful_service.py,archived_services/services/restful_service.py,git mv,2026-01-08T13:35:58.676810
safety_analytics_service,app/services/safety_analytics_service.py,archived_services/services/safety_analytics_service.py,git mv,2026-01-08T13:35:58.740088
