Work Item Type,Title,Parent,Description,Effort,Assigned To,Parent.1,Iteration Path
Epic,Foundation & Planning,,Establish technical foundation,,,,Saas-sphyco_code
Feature,Project Setup & Architecture,@6.0,"Repository, CI/CD, DB design",,,Foundation & Planning,Saas-sphyco_code\Sprint 1
Feature,Authentication & User Management,@6.0,"JWT login, registration, reset",,,Foundation & Planning,Saas-sphyco_code\Sprint  2
Epic,Core Features Development,,Core SaaS platform features,,,,Saas-sphyco_code
Feature,Team Management,@7.0,"Team CRUD, membership, permissions",,,Core Features Development,Saas-sphyco_code\Sprint  3
User Story,CRUD Teams,@7.0,"As a user, I want to create, update, delete teams.",16h,Backend Dev 2,Team Management,Saas-sphyco_code\Sprint  3
Task,Create team endpoints,@7.0,POST/PUT/DELETE teams,8h,Backend Dev 2,CRUD Teams,Saas-sphyco_code
Task,Team listing & filtering,@7.0,GET teams,8h,Backend Dev 2,CRUD Teams,Saas-sphyco_code
Feature,Assessment Framework,@7.0,"Framework CRUD, question engine",,,Core Features Development,Saas-sphyco_code\Sprint  4
User Story,Assessment Framework CRUD,@7.0,"As an admin, I want to manage assessment frameworks.",18h,Backend Dev 3,Assessment Framework,Saas-sphyco_code\Sprint  4
Task,Create assessment models,@7.0,DB models & schema,6h,Backend Dev 3,Assessment Framework CRUD,Saas-sphyco_code
Task,Implement CRUD operations,@7.0,Framework endpoints,12h,Backend Dev 3,Assessment Framework CRUD,Saas-sphyco_code
Feature,Results & Analytics,@7.0,"Scoring engine, results visualization",,,Core Features Development,Saas-sphyco_code\Sprint  5
User Story,Scoring Engine,@7.0,"As a data scientist, I want to calculate MBTI/Big Five/DISC scores.",24h,Data Scientist,Results & Analytics,Saas-sphyco_code\Sprint  5
Task,MBTI scoring,@7.0,Implement MBTI logic,8h,Data Scientist,Scoring Engine,Saas-sphyco_code
Task,Big Five scoring,@7.0,Implement Big Five logic,8h,Data Scientist,Scoring Engine,Saas-sphyco_code
Task,DISC scoring,@7.0,Implement DISC logic,8h,Data Scientist,Scoring Engine,Saas-sphyco_code
Feature,Analytics Dashboard,@7.0,"Metrics calculation, dashboard UI",,,Core Features Development,Saas-sphyco_code\Sprint  6
User Story,Dashboard UI,@7.0,"As a manager, I want to view analytics on a dashboard.",18h,Frontend Lead,Analytics Dashboard,Saas-sphyco_code\Sprint  6
Task,Build dashboard layout,@7.0,Create dashboard shell,6h,Frontend Lead,Dashboard UI,Saas-sphyco_code
Task,Create metric cards,@7.0,Add charts,6h,Frontend Lead,Dashboard UI,Saas-sphyco_code
Task,Responsive design,@7.0,Make mobile-ready,6h,Frontend Lead,Dashboard UI,Saas-sphyco_code
Feature,Team Optimization Engine,@7.0,AI-based recommendations,,,Core Features Development,Saas-sphyco_code\Sprint  7
User Story,Recommendation Engine,@7.0,"As a manager, I want AI recommendations for team composition.",24h,ML Engineer,Team Optimization Engine,Saas-sphyco_code\Sprint  7
Task,Compatibility analysis,@7.0,Build personality compatibility,12h,ML Engineer,Recommendation Engine,Saas-sphyco_code
Task,Role assignment suggestions,@7.0,Recommend team roles,12h,ML Engineer,Recommendation Engine,Saas-sphyco_code
Epic,Enhancements & Integrations,,"Extra features, integrations, security",,,,Saas-sphyco_code
Feature,Third-Party Integrations,@8.0,"Slack, Teams, Email, Calendar",,,Enhancements & Integrations,Saas-sphyco_code\Sprint  10
User Story,Slack Integration,@8.0,"As a user, I want Slack notifications for team insights.",20h,Backend Dev 3,Third-Party Integrations,Saas-sphyco_code
Task,Build Slack bot,@8.0,Bot API,10h,Backend Dev 3,Slack Integration,Saas-sphyco_code
Task,Implement slash commands,@8.0,Slack commands,10h,Backend Dev 3,Slack Integration,Saas-sphyco_code
Feature,Mobile & PWA Support,@8.0,"Responsive UI, offline",,,Enhancements & Integrations,Saas-sphyco_code\Sprint  11
User Story,Mobile Responsive UI,@8.0,"As a user, I want to use the platform on mobile devices.",24h,Frontend Dev 3,Mobile & PWA Support,Saas-sphyco_code
Task,Optimize components for mobile,@8.0,CSS adjustments,12h,Frontend Dev 3,Mobile Responsive UI,Saas-sphyco_code
Task,Touch-friendly UI,@8.0,Add gestures,12h,Frontend Dev 3,Mobile Responsive UI,Saas-sphyco_code
Feature,Security & Compliance,@8.0,"GDPR, SOC2, SSO",,,Enhancements & Integrations,Saas-sphyco_code\Sprint  12
User Story,GDPR Compliance,@8.0,"As an org, we must meet GDPR compliance.",20h,Backend Lead,Security & Compliance,Saas-sphyco_code
Task,Data export,@8.0,User data export API,10h,Backend Lead,GDPR Compliance,Saas-sphyco_code
Task,Data deletion workflow,@8.0,Right-to-erasure,10h,Backend Lead,GDPR Compliance,Saas-sphyco_code
Epic,Testing & QA,,"Automated tests, manual QA, performance",,,,Saas-sphyco_code
Feature,Automated Testing,@9.0,"Unit, integration, E2E",,,Testing & QA,Saas-sphyco_code\Sprint  13
User Story,Backend Unit Tests,@9.0,"As a backend dev, I want 90% coverage.",32h,Backend Team,Automated Testing,Saas-sphyco_code
Task,Write unit tests,@9.0,Pytest unit tests,16h,Backend Team,Backend Unit Tests,Saas-sphyco_code
Task,Integration tests,@9.0,Test endpoints,16h,Backend Team,Backend Unit Tests,Saas-sphyco_code
Feature,Manual QA & UAT,@9.0,Functional & usability testing,,,Testing & QA,Saas-sphyco_code\Sprint  14
User Story,Usability Testing,@9.0,"As a QA, I want to test with beta users.",24h,QA Team,Manual QA & UAT,Saas-sphyco_code
Task,Accessibility audits,@9.0,WCAG compliance,12h,QA Team,Usability Testing,Saas-sphyco_code
Task,Beta user feedback,@9.0,Collect input,12h,QA Team,Usability Testing,Saas-sphyco_code
Epic,Deployment & Launch,,"Production setup, beta, launch",,,,Saas-sphyco_code
Feature,Production Deployment,@10.0,"Infra, DB, security setup",,,Deployment & Launch,Saas-sphyco_code\Sprint  17
User Story,Infrastructure Deployment,@10.0,"As a DevOps lead, I want production infra configured.",24h,DevOps Lead,Production Deployment,Saas-sphyco_code
Task,K8s cluster setup,@10.0,Prod cluster,12h,DevOps Lead,Infrastructure Deployment,Saas-sphyco_code
Task,Monitoring & logging,@10.0,Prometheus/Grafana,12h,DevOps Lead,Infrastructure Deployment,Saas-sphyco_code
Feature,Launch Preparation,@10.0,"Docs, marketing, regression tests",,,Deployment & Launch,Saas-sphyco_code\Sprint  19
User Story,Documentation Completion,@10.0,"As a technical writer, I want docs ready before launch.",24h,Technical Writer,Launch Preparation,Saas-sphyco_code
Task,API documentation,@10.0,Swagger docs,12h,Technical Writer,Documentation Completion,Saas-sphyco_code
